n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model
6,90,18,0.5,0.2,17.576222032652844,60.078317847287266
6,90,18,0.5,0.0,7.486047809357338,115.13972063477522
6,90,18,0.5,0.0,0.36892615299679277,78.16480410545566
6,90,18,0.5,0.0,3.1513540441691443,106.83242088647428
6,90,18,0.5,0.2,4.534861694276893,270.36693422409365
6,90,18,0.25,0.2,3.853527208752216,591.1722209435273
6,90,18,0.25,0.2,19.03316667375497,144.49994218768205
6,90,18,0.25,0.0,10.08930319363925,631.8779185465299
6,90,18,0.25,0.2,8.180481634187041,220.025559073174
6,90,18,0.25,0.0,10.319154567991724,234.3702169207846
6,100,20,1,0.0,7.249156716548889,94.292021332229
6,100,20,1,0.0,10.267250562756152,59.507081225216815
6,100,20,1,0.2,4.988412688038453,215.49946037252275
6,100,20,1,0.2,6.664981121746111,181.06506120468572
6,100,20,1,0.0,0.2022599932211076,92.27573308523935
6,100,20,0.5,0.0,1.5134676137745748,223.85608699516493
6,100,20,0.5,0.2,15.222907317904173,241.85016631956665
6,100,20,0.5,0.2,1.4228363243693534,177.32708337301034
6,100,20,0.5,0.0,6.157651068440342,102.8105412886168
6,100,20,0.5,0.2,6.096394925573368,29.23566929759329
6,100,20,0.25,0.2,8.83660209966299,17.93078023910404
6,100,20,0.25,0.4,10.783700726672754,57.935188715396706
6,100,20,0.25,0.6,27.17450583883244,19.742425933691543
6,100,20,0.25,0.4,6.293099731034495,65.92321200390926
6,100,20,0.25,0.0,0.20150424983977339,58.21014342949038
6,88,22,1,0.0,1.2974171000222205,297.3404505279994
6,88,22,1,0.0,0.8105926648920884,112.62266782408915
6,88,22,1,0.0,4.796847598842545,157.89372128192352
6,88,22,1,0.5,14.352038386772126,32.67767970339008
6,88,22,1,0.0,3.384513566736758,141.91885502057778
6,88,22,0.5,0.0,5.540063265844447,131.91240615958526
6,88,22,0.5,0.25,14.047364794048857,268.0051790864947
6,88,22,0.5,0.0,2.6450600614005415,312.0626282558431
6,88,22,0.5,0.0,2.654259295299089,135.64491395098514
6,88,22,0.5,0.75,1.1824530885591735,12.947866889924372
6,88,22,0.25,0.25,0.8736327549431018,347.2969712747161
6,88,22,0.25,0.25,12.690469952968176,17.830838441068934
6,88,22,0.25,0.0,1.2502374443388309,99.25474249254617
6,88,22,0.25,0.5,3.389509066034116,27.017576580694403
6,88,22,0.25,0.5,24.374482450973023,3.681388694406257
6,96,24,1,0.25,8.329488288984662,48.65226374440024
6,96,24,1,0.0,0.28285858329352803,107.3249679409143
6,96,24,1,0.0,7.423395644286006,192.83869647381562
6,96,24,1,0.0,1.6407793899545209,196.33283825126995
6,96,24,1,0.5,5.169630863182486,92.94481358414599
6,96,24,0.5,0.0,21.87007498371557,287.9396974655107
6,96,24,0.5,0.5,15.631290686384588,127.32934517274344
6,96,24,0.5,0.25,3.385472523078626,48.843739175383746
6,96,24,0.5,0.0,2.825987562804192,68.86963983824317
6,96,24,0.5,0.0,10.854549863013172,88.72474922394156
6,96,24,0.25,0.0,1.4477057378039515,135.60078008739578
6,96,24,0.25,0.25,1.9303239568213229,13.345640244452618
6,96,24,0.25,0.0,2.9442969736641516,147.4672906435778
6,96,24,0.25,0.0,1.315249331347223,24.60237678466891
6,96,24,0.25,0.0,11.75933113587112,135.84593527486493
6,78,26,1,0.0,0.0037288006859680805,5.032840021319308
6,78,26,1,0.0,3.653512165378895,137.42457205468932
6,78,26,1,0.0,2.649498509963152,300.87541761427514
6,78,26,1,0.0,2.6596259502132367,74.27982676072234
6,78,26,1,0.3333333333333333,28.06935556460044,58.69544824452354
6,78,26,0.5,0.3333333333333333,11.76746011677399,103.21059210386538
6,78,26,0.5,0.0,23.381416819300913,289.7361943044275
6,78,26,0.5,0.6666666666666666,15.71300593343125,16.11190515216843
6,78,26,0.5,0.3333333333333333,8.526777823753163,309.18116484185674
6,78,26,0.5,0.3333333333333333,4.188458628585363,30.034417050268843
6,78,26,0.25,0.0,1.917825806586951,38.7156002290376
6,78,26,0.25,0.0,0.16580344052108867,360.94530517865905
6,78,26,0.25,0.0,3.7542035399066194,410.6425184324326
6,78,26,0.25,0.0,2.4323640796629933,230.60371928939563
6,78,26,0.25,0.0,2.587160414036202,93.4593490931586
6,84,28,1,0.0,1.968772774734158,129.17842260883216
