n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model
1,96,6,0.25,0.25,248.6407547225245,248.64075472252452
1,96,6,0.25,0.3125,47.539399737720764,47.539399737720785
1,96,6,0.25,0.4375,6.3900940108352415,6.390094010835232
1,96,8,1,0.0,0.008935548763924342,0.008935548763924342
1,96,8,1,0.0,111.62013630641333,111.62013630641333
1,96,8,1,0.0,0.0038865397085895057,0.0038865397085895057
1,96,8,1,0.0,0.009464185533795738,0.009464185533795738
1,96,8,1,0.0,134.77425476292183,134.77425476292183
1,96,8,1,0.0,141.31206221620874,141.31206221620874
1,96,8,1,0.0,109.8264142068905,109.8264142068905
1,96,8,1,0.0,3.1603842468359438,3.1603842468359438
1,96,8,1,0.0,0.6818009357468703,0.6818009357468703
1,96,8,1,0.0,193.67981881945914,193.67981881945914
1,96,8,0.5,0.0,231.4995882949554,231.4995882949554
1,96,8,0.5,0.0,0.005496499666403177,0.005496499666403177
1,96,8,0.5,0.0,7.9337049936264314,7.9337049936264314
1,96,8,0.5,0.0,34.268675745010036,34.268675745010036
1,96,8,0.5,0.0,7.200030545724231,7.200030545724231
1,96,8,0.5,0.0,146.69643816629505,146.69643816629505
1,96,8,0.5,0.0,88.36425479480674,88.36425479480674
1,96,8,0.5,0.0,7.164294470803384,7.164294470803384
1,96,8,0.5,0.0,1.7913713425275801,1.7913713425275801
1,96,8,0.5,0.0,108.82943318023109,108.82943318023109
1,96,8,0.25,0.0,95.1188074195158,95.1188074195158
1,96,8,0.25,0.0,145.60514857532402,145.60514857532402
1,96,8,0.25,0.0,0.0031440214810187403,0.0031440214810187403
1,96,8,0.25,0.0,79.23267050110674,79.23267050110674
1,96,8,0.25,0.0,167.3809865867172,167.3809865867172
1,96,8,0.25,0.0,0.001142741431689701,0.001142741431689701
1,96,8,0.25,0.0,170.5503258865596,170.5503258865596
1,96,8,0.25,0.0,0.004051243953584172,0.004051243953584172
1,96,8,0.25,0.0,85.93328911756355,85.93328911756355
